,,,,,,,,,,,,on ground,,,,,,,,,,,,,,,,,,,,
-60,10,0,4,1,322,-1,0,0,0,0,1,0,0,0,0,60,10,0,4,0,322,-1,0,0,0,0,1,0,0,0,0,3
-60,10.49412346,0,4,1,323,9,0,0,0,0,1,0,0,0,0,60,10.21961021,0,4,0,323,4,0,0,0,0,1,0,0,0,0,37
-60,11.20785809,0,4,1,323,22,0,0,0,0,1,0,0,0,0,60,10.93334484,0,4,0,323,17,0,0,0,0,1,0,0,0,0,3
-60,11.37256622,0,4,1,324,-1,0,0,0,0,1,0,0,0,0,60,11.64707947,0,4,0,324,-1,0,0,0,0,1,0,0,0,0,18
-60,10.6588316,0,4,1,324,-1,0,0,0,0,1,0,0,0,0,60,10.93334484,0,4,0,324,-1,0,0,0,0,1,0,0,0,0,2
-60,9.664901733,0,4,1,29,2,0,0,0,0,1,0,0,-0.25999999,0,60,10.21961021,0,4,0,324,-1,0,0,0,0,1,0,0,0,0,8
-60,1.00E-04,0,4,1,42,2,0,0,0,0,2,1,0,0,0,60,2.904902697,0,4,0,29,2,0,0,0,0,1,0,0,-1.299999952,0,20
-60,1.00E-04,0,4,0,18,8,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,42,10,0,0,0,0,2,1,0,0,0,35
-60,1.00E-04,0,4,0,212,13,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,42,23,0,0,0,0,2,1,0,0,0,40
-60,1.00E-04,0,4,0,212,26,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,6,0,0,0,0,2,1,0,0,0,7
-60,1.00E-04,0,4,1,18,9,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,19,0,0,0,0,2,1,0,0,0,23
-60.01467896,1.00E-04,0,4,1,353,13,0,0,0,0,0,1,0,0.000984267,0,60,1.00E-04,0,4,0,14,32,0,0,0,0,2,1,0,0,0,11
-59.28931427,40.7178688,0,4,1,353,26,0,0,0,0,0,0,0.240596294,1.561031342,0,60,1.00E-04,0,4,0,14,45,0,0,0,0,2,1,0,0,0,13
-56.16155624,48.48308182,0,4,1,353,39,0,0,0,0,0,0,0.240596294,-0.314983368,0,60,1.00E-04,0,4,0,14,58,0,0,0,0,2,1,0,0,0,14
-53.03379822,33.03071213,0,4,1,353,52,0,0,0,0,0,0,0.240596771,-1.65423584,0,60,1.00E-04,0,4,0,14,11,0,0,0,0,2,1,0,0,0,2
-52.66803741,12.82229233,0,4,1,35,1,0,0,0,0,0,0,-0.119003169,-1.386290431,0,60,1.00E-04,0,4,0,14,24,0,0,0,0,2,1,0,0,0,0
-54.61906815,1.00E-04,0,4,1,43,9,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,37,0,0,0,0,2,1,0,0,0,5
-54.61906815,1.00E-04,0,4,1,43,22,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,50,0,0,0,0,2,1,0,0,0,5
-54.61906815,1.00E-04,0,4,1,14,5,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,63,0,0,0,0,2,1,0,0,0,34
-54.61906815,1.00E-04,0,4,1,212,13,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,1,0,0,0,0,2,1,0,0,0,33
-54.61906815,1.00E-04,0,4,1,212,26,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,14,0,0,0,0,2,1,0,0,0,42
-54.61906815,1.00E-04,0,4,1,180,0,0,0,8,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,27,0,0,0,0,2,1,0,0,0,42
-54.61906815,1.00E-04,0,4,1,235,13,0,0,9,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,40,0,0,0,0,2,1,0,0,0,49
-54.61906815,1.00E-04,0,4,1,235,26,0,0,9,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,53,0,0,0,0,2,1,0,0,0,42
-54.61906815,1.00E-04,0,4,1,178,-1,0,0,6,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,6,0,0,0,0,2,1,0,0,0,48
-54.61906815,1.00E-04,0,4,1,235,13,0,0,7,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,19,0,0,0,0,2,1,0,0,0,37
-54.61906815,1.00E-04,0,4,1,235,26,0,0,7,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,32,0,0,0,0,2,1,0,0,0,8
-52.22140121,1.00E-04,0,4,1,14,1,0,0,0,0,2,1,0.726931423,0,0,60,1.00E-04,0,4,0,14,45,0,0,0,0,2,1,0,0,0,5
-51.49714279,23.22009468,0,4,1,25,9,0,0,0,0,1,0,0,2.059998989,0,60,1.00E-04,0,4,0,14,58,0,0,0,0,2,1,0,0,0,25
-51.49714279,23.22009468,0,4,1,351,13,0,0,0,0,0,0,0,0,0,60,1.00E-04,0,4,0,14,11,0,0,0,0,2,1,0,0,0,40
-28.53330231,23.22009468,0,4,1,351,26,0,0,0,0,0,0,2.017351151,0,0,60,1.00E-04,0,4,0,14,24,0,0,0,0,2,1,0,0,0,6
-8.545747757,20.47009468,0,4,1,351,39,0,0,0,0,0,0,1.162204742,-0.50000006,0,60,1.00E-04,0,4,0,14,37,0,0,0,0,2,1,0,0,0,3
1.962553024,9.42009449,0,4,1,351,52,0,0,-1,0,0,0,0.541004181,-1.149999976,0,60,1.00E-04,0,4,0,14,50,0,0,0,0,2,1,0,0,0,49
5.380498886,1.00E-04,0,4,1,43,8,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,63,0,0,0,0,2,1,0,0,0,46
5.380498886,1.00E-04,0,4,1,43,28,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,6,0,0,0,0,2,1,0,0,0,7
30.46049118,1.00E-04,0,4,1,20,12,0,0,0,0,2,1,4.439999819,0,0,60,1.00E-04,0,4,0,14,19,0,0,0,0,2,1,0,0,0,22
52.0404892,1.00E-04,0,4,1,20,25,0,0,0,0,2,1,2.359999299,0,0,60,1.00E-04,0,4,0,14,32,0,0,0,0,2,1,0,0,0,40
52.44548798,1.00E-04,0,4,1,180,0,0,0,12,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,45,0,0,0,0,2,1,0,0,0,38
45.61248398,23.22009468,0,4,1,26,9,0,0,0,0,1,0,-0.773999989,2.059998989,0,60,1.00E-04,0,4,0,14,58,0,0,0,0,2,1,0,0,0,43
40.96048355,38.17008209,0,4,1,26,22,0,0,0,0,1,0,-0.043999963,0.369999051,0,60,1.00E-04,0,4,0,14,11,0,0,0,0,2,1,0,0,0,15
44.69848251,3.500080109,0,4,1,66,13,0,0,0,0,1,0,0.522000074,-3.5,0,60,1.00E-04,0,4,0,14,24,0,0,0,0,2,1,0,0,0,14
47.04448318,1.00E-04,0,4,1,71,18,0,0,0,0,2,1,0,0,0,60,1.00E-04,0,4,0,14,37,0,0,0,0,2,1,0,0,0,52
49.50877762,1.00E-04,0,4,1,14,1,0,0,1,0,2,1,0.904877365,0,0,60,1.00E-04,0,4,0,14,50,0,0,0,0,2,1,0,0,0,46
